,SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,TotalVotesReceived,EStatus,Rank
0,1335,4,जगत बहादुर सुनार (विश्वकर्मा),पुरुष,43.0,नेपाल कम्युनिष्ट पार्टी (एमाले),कास्की,3.0,32690,Elected,1
1,1336,4,शुक्रराज शर्मा,पुरुष,70.0,नेपाली काँग्रेस,कास्की,3.0,24304,Not Elected,2
2,1337,4,मिलन अधिकारी,पुरुष,25.0,विवेकशील साझा पार्टी,कास्की,3.0,827,Not Elected,3
3,1338,4,रमेश बसेल,पुरुष,45.0,जनसमाजवादी पार्टी नेपाल,कास्की,3.0,735,Not Elected,4
4,1339,4,नारायण प्रसाद भण्डारी,पुरुष,39.0,नयाँ शक्ति पार्टी नेपाल,कास्की,3.0,476,Not Elected,5
5,1340,4,डिल बहादुर नेपाली,पुरुष,43.0,संघीय समाजवादी फोरम नेपाल,कास्की,3.0,347,Not Elected,6
6,1341,4,हिम लाल गौतम,पुरुष,38.0,राष्ट्रिय जनमोर्चा,कास्की,3.0,154,Not Elected,7
7,1342,4,गोविन्द बहादुर गजमेर,पुरुष,48.0,मंगोल नेशनल अर्गनाइजेसन,कास्की,3.0,75,Not Elected,8
8,1343,4,भोज राज त्रिपाठी,पुरुष,45.0,देशभक्त जनगणतान्त्रिक मोर्चा नेपाल,कास्की,3.0,50,Not Elected,9
9,1344,4,दुर्गा बहादुर कामी सुनार,पुरुष,54.0,नेपाल दलित पार्टी,कास्की,3.0,21,Not Elected,10
10,1345,4,दुर्गा दत्त तिमिल्सिना,,62.0,स्वतन्त्र,कास्की,3.0,17,Not Elected,11
