,SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,TotalVotesReceived,EStatus,Rank
0,1367,4,नारायण प्रसाद मरासिनी,पुरुष,49,नेपाल कम्युनिष्ट पार्टी (एमाले),स्याङ्जा,1.0,39226,Elected,1
1,1368,4,राजु थापा,पुरुष,39,नेपाली काँग्रेस,स्याङ्जा,1.0,28662,Not Elected,2
2,1369,4,टिका राम पौडेल,पुरुष,45,नयाँ शक्ति पार्टी नेपाल,स्याङ्जा,1.0,264,Not Elected,3
3,1370,4,भिम बहादुर गुरुङ्ग,पुरुष,43,मंगोल नेशनल अर्गनाइजेसन,स्याङ्जा,1.0,118,Not Elected,4
4,1371,4,वावु राम थापा,पुरुष,54,राष्ट्रिय जनमुक्ति पार्टी,स्याङ्जा,1.0,105,Not Elected,5
5,1372,4,गेम बहादुर हमाल,पुरुष,61,राष्ट्रिय जनमोर्चा,स्याङ्जा,1.0,71,Not Elected,6
6,1373,4,चण्डी प्रसाद पौडेल,पुरुष,72,स्वतन्त्र,स्याङ्जा,1.0,30,Not Elected,7
