,SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,TotalVotesReceived,EStatus,Rank
0,1374,4.0,पद्‍मा कुमारी अर्याल,महिला,48,नेपाल कम्युनिष्ट पार्टी (एमाले),स्याङ्जा,2,35142,Elected,1
1,1375,4.0,गोपाल मान श्रेष्ठ,पुरुष,70,नेपाली काँग्रेस,स्याङ्जा,2,31436,Not Elected,2
2,1376,4.0,ईश्‍वर वहादुर राना,पुरुष,44,राष्ट्रिय जनमुक्ति पार्टी,स्याङ्जा,2,483,Not Elected,3
3,1377,4.0,राजेन्द्र प्रसाद गैह्रे,पुरुष,62,राष्ट्रिय जनमोर्चा,स्याङ्जा,2,180,Not Elected,4
4,1378,4.0,रत्न बहादुर गुरुङ,पुरुष,56,मंगोल नेशनल अर्गनाइजेसन,स्याङ्जा,2,143,Not Elected,5
5,1379,4.0,अर्जुन राना,पुरुष,38,संघीय समाजवादी फोरम नेपाल,स्याङ्जा,2,133,Not Elected,6
6,1380,4.0,टीका राम रेग्मी,पुरुष,44,नयाँ शक्ति पार्टी नेपाल,स्याङ्जा,2,129,Not Elected,7
7,1381,4.0,राम भक्त भट्टराई,पुरुष,44,नेपाली कांग्रेस (बी.पी.),स्याङ्जा,2,9,Not Elected,8
